Xcor[1], Ycor[1], Xcor[4], Ycor[4], Xcor[3], Ycor[3], Xcor[8], Ycor[8], Xcor[6], Ycor[6], Xcor[10], Ycor[10], cnetroids
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(269, 180), (270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128), (214, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(269, 184), (269, 180), (270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129), (214, 128)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(269, 184), (269, 184), (269, 180), (270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127), (215, 129)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(269, 183), (269, 184), (269, 184), (269, 180), (270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137), (212, 127)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(269, 181), (269, 183), (269, 184), (269, 184), (269, 180), (270, 182), (257, 167), (258, 166), (237, 144), (236, 144), (216, 135), (219, 137)], maxlen=12)"
